race,geography,geo_level,dem_share,n_sample,date,pollster,notes,methodology,xt_education_college,xt_education_noncollege,xt_race_white,xt_race_black,xt_race_hispanic,xt_race_asian,xt_urbanicity_urban,xt_urbanicity_rural,xt_age_senior,xt_religion_evangelical,xt_vote_race_white,xt_vote_race_black,xt_vote_race_hispanic,xt_vote_race_asian,xt_vote_education_college,xt_vote_education_noncollege,xt_vote_age_senior
2026 Generic Ballot,US,national,0.5326,1500.0,2026-04-03,Cygnal,D=49.0% R=43.0%; LV; src=rcp,,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5172,2200.0,2026-04-05,Morning Consult,D=45.0% R=42.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5116,1560.0,2026-04-06,Economist/YouGov,D=44.0% R=42.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5269,2000.0,2026-04-09,RMG Research,D=49.0% R=44.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5294,1573.0,2026-04-13,Economist/YouGov,D=45.0% R=40.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 Generic Ballot,US,national,0.5172,2203.0,2026-04-20,Morning Consult,D=45.0% R=42.0%; RV; src=rcp,,,,,,,,,,,,,,,,,,
2026 IA Senate,IA,state,0.4824,1108.0,2026-01-11,Change Research (D),D=41.0% R=44.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 IA Senate,IA,state,0.4778,1200.0,2026-03-16,GQR (D),D=43.0% R=47.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 MA Senate,MA,state,0.6353,500.0,2025-11-23,Boston Globe/Suffolk,D=54.0% R=31.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 MA Senate,MA,state,0.6747,620.0,2026-02-16,UNH,D=56.0% R=27.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5316,501.0,2025-10-10,Zenith Research (D),D=42.0% R=37.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4773,783.0,2025-10-29,Maine People's Resource Center,D=42.0% R=46.0%; LV; src=wikipedia,unknown,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5444,600.0,2025-11-11,Cygnal,D=49.0% R=41.0%; LV; src=wikipedia,IVR,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4773,783.0,2025-11-12,Maine People's Resource Center,D=42.0% R=46.0%; RV; src=270towin,unknown,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,820.0,2025-12-07,Pan Atlantic Research,D=43.0% R=43.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,820.0,2025-12-10,Pan Atlantic Research,D=43.0% R=43.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.49,900.0,2025-12-16,Workbench Strategy (D),D=49.0% R=51.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4944,800.0,2026-01-24,Fabrizio Lee & Associates,D=44.0% R=45.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5632,1120.0,2026-02-16,UNH,D=49.0% R=38.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5062,1105.0,2026-02-16,University of New Hampshire,D=41.0% R=40.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5062,1120.0,2026-02-24,Univ. of New Hampshire,D=41.0% R=40.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5238,810.0,2026-03-02,Pan Atlantic,D=44.0% R=40.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,810.0,2026-03-02,Pan Atlantic Research,D=44.0% R=44.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,810.0,2026-03-04,Pan Atlantic Research,D=44.0% R=44.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5385,800.0,2026-03-05,Quantus Insights,D=49.0% R=42.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,600.0,2026-03-08,OnMessage Public Strategies (R),D=42.0% R=42.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4886,800.0,2026-03-09,Quantus Insights,D=43.0% R=45.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5,600.0,2026-03-10,OnMessage,D=42.0% R=42.0%; LV; src=270towin,mixed,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.5393,1075.0,2026-03-23,Emerson College,D=48.0% R=41.0%; LV; src=rcp,mixed,0.44,0.56,0.912,,,,,,0.452,,,,,,0.6295,0.37,0.484
2026 ME Senate,ME,state,0.5169,1075.0,2026-03-26,Emerson College,D=46.0% R=43.0%; LV; src=270towin,mixed,0.44,0.56,0.912,,,,,,0.452,,,,,,0.6295,0.37,0.484
2026 ME Senate,ME,state,0.5517,1167.0,2026-03-31,MPRC,D=48.0% R=39.0%; LV; src=rcp,,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4828,1167.0,2026-03-31,Maine People's Resource Center (D),D=42.0% R=45.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4828,1167.0,2026-04-07,Maine People's Resource Center,D=42.0% R=45.0%; LV; src=270towin,,,,,,,,,,,,,,,,,,
2026 ME Senate,ME,state,0.4977,,,Decision Desk HQ,D=43.4% R=43.8%; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5833,600.0,2025-02-08,Target Insyght,D=42.0% R=30.0%; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5,600.0,2025-02-08,EPIC-MRA,D=31.0% R=31.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5833,600.0,2025-03-08,Target Insyght,D=42.0% R=30.0%; RV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5211,688.0,2025-03-13,Mitchell Research,D=37.0% R=34.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5211,688.0,2025-03-18,Mitchell Research,D=37.0% R=34.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5072,600.0,2025-05-28,Glengariff Group,D=35.0% R=34.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4658,252.0,2025-10-25,Rosetta Stone,D=34.0% R=39.0%; LV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4658,637.0,2025-10-25,Rosetta Stone Communications (R),D=34.0% R=39.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4658,637.0,2025-11-06,Rosetta Stone,D=34.0% R=39.0%; LV; src=270towin,mixed,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4925,600.0,2025-11-11,EPIC-MRA,D=33.0% R=34.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4925,600.0,2025-11-14,EPIC-MRA,D=33.0% R=34.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4559,616.0,2025-11-21,Mitchell Research,D=31.0% R=37.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4559,616.0,2025-12-02,Mitchell Research,D=31.0% R=37.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4848,600.0,2026-01-06,Detroit News,D=32.0% R=34.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4745,,2026-01-06,Real Clear Politics,D=32.5% R=36.0%; src=wikipedia,unknown,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4848,600.0,2026-01-06,Glengariff Group,D=32.0% R=34.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4848,600.0,2026-01-13,Glengariff Group,D=32.0% R=34.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4912,,2026-02-02,Glengariff Group,D=28.0% R=29.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.52,800.0,2026-02-16,Impact Research (D),D=39.0% R=36.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.587,1000.0,2026-03-24,Michigan State University/YouGov,D=27.0% R=19.0%; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5263,800.0,2026-03-29,Impact Research (D),D=40.0% R=36.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.566,1000.0,2026-04-20,Michigan State Univ.,D=30.0% R=23.0%; src=270towin,,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5085,600.0,,Schoen Cooperman Research (D),D=30.0% R=29.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.5072,600.0,,Glengariff Group,D=35.0% R=34.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Governor,MI,state,0.4697,600.0,,Plymouth Union Public (R),D=31.0% R=35.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.4659,600.0,2025-02-08,EPIC-MRA,D=41.0% R=47.0%; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.4605,600.0,2025-03-06,Target Insyght,D=35.0% R=41.0%; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5056,688.0,2025-03-13,Mitchell Research,D=45.0% R=44.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5056,600.0,2025-05-08,Glengariff Group,D=45.0% R=44.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5109,700.0,2025-06-16,Normington Petts (D),D=47.0% R=45.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.4598,637.0,2025-10-25,Rosetta Stone Communications (R),D=40.0% R=47.0%; LV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5116,600.0,2025-11-11,EPIC-MRA,D=44.0% R=42.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.4878,616.0,2025-11-21,Mitchell Research & Communications,D=40.0% R=42.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5281,600.0,2026-01-06,Glengariff Group,D=47.0% R=42.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 MI Senate,MI,state,0.5281,1000.0,2026-01-25,Emerson College,D=47.0% R=42.0%; LV; src=wikipedia,mixed,0.363,0.637,0.768,0.125,0.059,0.013,,,0.394,,0.44,0.664,0.532,0.505,0.573,0.4255,0.4685
2026 MN Governor,MN,state,0.5904,575.0,2026-01-30,SurveyUSA,D=49.0% R=34.0%; RV; src=rcp,mixed,,,,,,,,,,,,,,,,,
2026 MN Governor,MN,state,0.573,1000.0,2026-02-08,Emerson College,D=51.0% R=38.0%; RV; src=rcp,mixed,0.441,0.559,0.847,0.058,0.025,0.022,,,0.413,,0.426,0.237,0.334,0.17,0.328,0.471,0.4575
2026 MN Senate,MN,state,0.5213,604.0,2025-07-11,Impact Research (D),D=49.0% R=45.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 MN Senate,MN,state,0.5402,1000.0,2026-02-08,Emerson College,D=47.0% R=40.0%; LV; src=wikipedia,mixed,0.441,0.559,0.847,0.058,0.025,0.022,,,0.413,,0.426,0.237,0.334,0.17,0.328,0.471,0.4575
2026 MN Senate,MN,state,0.5402,1000.0,2026-02-11,Emerson College,D=47.0% R=40.0%; LV; src=270towin,mixed,0.441,0.559,0.847,0.058,0.025,0.022,,,0.413,,0.426,0.237,0.334,0.17,0.328,0.471,0.4575
2026 NC Senate,NC,state,0.5056,800.0,2024-11-29,Victory Insights,D=45.0% R=44.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5111,867.0,2025-04-04,Change Research (D),D=46.0% R=44.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5341,1000.0,2025-07-30,Emerson College,D=47.0% R=41.0%; RV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5181,600.0,2025-07-30,Victory Insights,D=43.0% R=40.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5181,600.0,2025-07-31,Victory Insights,D=43.0% R=40.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5341,1000.0,2025-08-01,Emerson College,D=47.0% R=41.0%; RV; src=270towin,mixed,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5393,855.0,2025-09-08,Change Research (D),D=48.0% R=41.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5281,1105.0,2026-01-07,Change Research (D),D=47.0% R=42.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.6667,1512.0,2026-01-15,TIPP Insights (R),D=48.0% R=24.0%; RV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5556,1069.0,2026-02-04,Change Research,D=50.0% R=40.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5556,1069.0,2026-02-04,Change Research (D),D=50.0% R=40.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5556,1069.0,2026-02-20,Change Research,D=50.0% R=40.0%; RV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.6098,800.0,2026-03-09,Nexus Strategies/ Strategic Partners Solutions,D=50.0% R=32.0%; RV; src=wikipedia,mixed,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5165,556.0,2026-03-14,Public Policy Polling,D=47.0% R=44.0%; RV; src=rcp,IVR,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5854,1000.0,2026-03-18,Catawba College/YouGov,D=48.0% R=34.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5444,600.0,2026-03-23,Carolina Journal/Harper,D=49.0% R=41.0%; LV; src=rcp,unknown,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.6098,800.0,2026-03-27,Nexus/Strategic Partners Solutions,D=50.0% R=32.0%; LV; src=270towin,mixed,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5854,871.0,2026-03-31,Catawba College,D=48.0% R=34.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5269,987.0,2026-04-01,Quantus Insights,D=49.0% R=44.0%; LV; src=rcp,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5269,987.0,2026-04-02,Quantus Insights,D=49.0% R=44.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5435,703.0,2026-04-06,High Point/YouGov,D=50.0% R=42.0%; LV; src=rcp,,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5435,703.0,2026-04-06,High Point University/YouGov,D=50.0% R=42.0%; LV; src=wikipedia,,,,,,,,,,,,,,,,,,
2026 NC Senate,NC,state,0.5435,703.0,2026-04-17,High Point Univ.,D=50.0% R=42.0%; LV; src=270towin,,,,,,,,,,,,,,,,,,
2026 NH Governor,NH,state,0.4382,2053.0,2026-01-19,UNH,D=39.0% R=50.0%; LV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 NH Governor,NH,state,0.4079,1491.0,2026-03-18,St. Anselm,D=31.0% R=45.0%; RV; src=rcp,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.46,626.0,2025-03-01,Praecones Analytica,D=46.0% R=54.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.4536,650.0,2025-03-19,Quantus Insights,D=44.0% R=53.0%; RV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5647,1776.0,2025-08-27,Saint Anselm College,D=48.0% R=37.0%; RV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5647,1776.0,2025-09-05,Saint Anselm College,D=48.0% R=37.0%; RV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5556,904.0,2025-09-12,co/efficient (R),D=50.0% R=40.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5169,904.0,2025-09-15,co/efficient,D=46.0% R=43.0%; LV; src=270towin,online,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5843,1235.0,2025-09-23,University of New Hampshire,D=52.0% R=37.0%; LV; src=wikipedia,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5326,1235.0,2025-09-29,Univ. of New Hampshire,D=49.0% R=43.0%; LV; src=270towin,phone,,,,,,,,,,,,,,,,,
2026 NH Senate,NH,state,0.5568,1034.0,2025-10-13,co/efficient (R),D=49.0% R=39.0%; LV; src=wikipedia,online,,,,,,,,,,,,,,,,,
